path,knowledge,similarQuestion,Answer
通用/ETO,钉钉文档,"如何共享文档？
协同办公",1， 打开钉盘<br/>2， 找到需要创建文件的位置（如“我的文件”）<br/>3， 点击“上传/新建”<br/>4， 创建一个钉文档或钉表格<br/>5， 编辑表格内容—右上角可设置权限以及发送给其他人查看<br/>
通用/ETO,群文件管理,如何管理群文件？,1， 打开钉盘<br/>2， 进入企业文件“深圳市万科梅沙书院”<br/>3， 选择群文件<br/>4， 可管理群后方显示设置，点击群名进入文件管理<br/>5， 清理过期不需要的文件<br/>
通用/ETO,网络问题,如何连接网络？,"1， 检查是正否连接正确的WIFI源，（学生SSID：student 老师SSID：vma-teacher）<br/>2， 检查是否完成网络认证，使用浏览器打开认证页面：2.2.2.1去认证。（如无法打开，请关闭VPN, 请检查代理服务器，如果有则需要清除，另外请检查是否开启广告拦截功能，如已经开启,需关闭拦截广告功能），打开2.2.2.1后发现提示已经登录，则表示完成了网络认证；如发现打不开或是出现其它页面，则表示还没有完成网络认证，则需要先完成认证。输入你的wifi用户名及相应密码完成认证即可<br/>3， 自己完法完成的情况下打开钉钉工作台-审批-IT事件单，提交申请。至522找胡老师咨询处理。<br/>1. Check if you are connect to the proper WIFI (Students: Student; Teachers: VMA-Teacher)<br/>2. Check if you have completed online verification. Type in ""2.2.2.1"" at the URL bar, press enter, and complete the verification process. If the page shows you have already logged in, it means you have completed your onine verification. If the page cannot be openned, open the pages shows content other than the logged-in page, you need to complete the verification by keying in your username and password. (Please turn off your VPN, proxy server and Ad Blocker for this process.)"
通用/ETO,重置密码,如何申请重置密码？,"1， 打开钉钉工作台-审批-IT事件单，提交申请。<br/>2， 等待完成ETO会发送密码给你<br/>1. Dingtalk Workdesk-Approval-IT ticket and submit a application<br/>2. Wait for ETO's email, which will contain your password<br/>"
通用/ETO,重置Powerschool密码,忘记Powerschool密码怎么办？,"1， 打开钉钉工作台-审批-IT事件单，提交申请。<br/>2， 等待完成ASO会发送密码给你<br/>1. Dingtalk Workdesk-Approval-IT Ticket, and submit an application<br/>2. Wait for AZSO's emai, which will contain your password"
通用/ETO,软件安装,我需要安装软件。,"1， 打开钉钉工作台-审批-IT事件单，提交申请。<br/>2，至522找周老师咨询安装<br/>1. Workdesk-Approval-IT Ticket, submit an application<br/>2. Find Dean Zhou at 522 to have the software installed<br/><br/>"
通用/ETO,投影使用,如何连接投影仪？,"1， 检查网络是否连接正常(断开VPN连接)<br/>2， 打开Airplay，选择你所在的房间号<br/>3， 输入投屏密码<br/>（如遇到投屏黑屏的问题，请尝试重启电脑）<br/>1. Check if your device is connected to the Internet (please keep your VPN off)<br/>2. Turn on Airplay, and choose the number of the room you are in<br/>3. Key in the Airplay code shown on the projected screen (if you come across black screen, please reboot your laptop)"
通用/ETO,打印机安装,如何安装打印机？,"1， 打开浏览器，输入：yinxiangcloud.com/client/vma.html<br/>2， 下载你电脑系统对应的版本程序<br/>3， 安装打印机，（注意安装过程中有杀毒软件提示风险，请放心安装，安装完成后在杀毒软件中把安装打印机的目录设为白名单）<br/>4， 测试打印文件，输入打印机账号密码<br/>1. Open your browser and go to ""yinxiangcloud.com/client/vma.html""<br/>2. Download that app that fits your operation system<br/>3. Install the program (While you are installing the app, the antivirus might warn you about security risks. Please ignore it and complete the installation. After you successfully installed the program, please add the printer app to the white list of the antivirus software.)<br/>4. Now you may test if the app is working. Please know you are required to provide a username and a password in order to print. "
通用/ETO,邮箱客户端,如何配置邮箱客户端？,"1， 建议使用”邮箱大师”，大部份情况下，使用此客户端，不需要配置，只需用户完整邮箱地址及密码即可。<br/>2， 可以参考https://qiye.163.com/help/l-12.html<br/>1. We recommend ""邮箱大师"". In most cases, this mail client doesn't require any configuration other than your email address and password<br/>2. If you have any issues regarding mail client, please come to 522 for tech support."
通用/ETO,邮箱问题,其他邮箱问题,"1， 前往邮件帮助中心https://qiye.163.com/help/l-1.html<br/>2，如无法解决问题，请至522联系胡纯老师。<br/>1. Go to mail client help center https://qiye.163.com/help/l-1.html<br/>2. If you have any unresolved issues concerning your mailbox feature, please come to 522 for tech support"
通用/ETO,IT相关问题,ETO相关问题,联系电话：66618482<br/>办公室：522<br/>邮箱：ETO@vma.edu.cn<br/>Landline: 0755-66618482<br/>Office: VMA 522<br/>Email: ETO@vma.edu.cn
通用/CCO,CCO办公室,CCO办公室在哪里,办公室：VMA511<br/>邮箱：cco@vma.edu.cn
通用/ASO,课表是什么？,本学年的课表是什么？,"<div id=""se-knowledge""><p><img src=""//knowledgecloud.oss-cn-hangzhou.aliyuncs.com/kc/kc-media/kc-oss-1570775749891-3.2019-2020%20Daily%20Schedule%EF%BC%88EN%EF%BC%89%20(16939).jpg"" width=""2339"" height=""1653""></p><link rel=""stylesheet"" href=""//g.alicdn.com/ikc-fe/kc-editor-theme/pc.css""></div>"
通用/AO,2019-2020 校历,,"<div id=""se-knowledge""><p><img src=""//knowledgecloud.oss-cn-hangzhou.aliyuncs.com/kc/kc-media/kc-oss-1570775478098-2.2019-2020%20Calendar%20(32344).jpg"" width=""1653"" height=""2339""></p><link rel=""stylesheet"" href=""//g.alicdn.com/ikc-fe/kc-editor-theme/pc.css""></div>"
通用/AMO,衍生品商店开放时间,衍生品商店开放时间,每周一至五，中午11：30-12：30
通用/AMO,衍生品商店地点,衍生品商店地点,VMA篮球场旁地下Box
通用/AMO,衍生品购买方式,衍生品购买方式,1）关注“梅沙教育”公众号，注册，并进入“校园商城”下单，下单后24小时内，在商店开放时间段，前往商店取货。超过24小时未取货，订单将被取消 <br/>2）商店开放时间段内，前往商店扫码下单并取货（推荐）
通用/AMO,衍生品退换货政策,衍生品退换货政策,原则上，所购商品须于店内查验颜色、尺码、品质，离店后不允退换；如有特殊情况，确实出现尺码不合，质量问题等，请于7个自然日内，携完好包装到店退换
通用/AMO,校服,校服,校服正装为学校财务室统一收费，量身订制，不属于衍生品商店日常销售商品；校服常服衍生品店内有售
联系方式,校历,,"<div id=""se-knowledge""><p><img src=""//knowledgecloud.oss-cn-hangzhou.aliyuncs.com/kc/kc-media/kc-oss-1570774722427-2.2019-2020%20%E6%A0%A1%E5%8E%86%20201906018%20(7791).jpg"" width=""1653"" height=""2339""></p><link rel=""stylesheet"" href=""//g.alicdn.com/ikc-fe/kc-editor-theme/pc.css""></div>"
联系方式,梅沙书院联系方式,,"<div id=""se-knowledge""><p><img src=""https://knowledgecloud.oss-cn-hangzhou.aliyuncs.com/kc/kc-media/kc-oss-1570775043416-4.2019-2020%E4%B8%87%E7%A7%91%E6%A2%85%E6%B2%99%E4%B9%A6%E9%99%A2%E9%83%A8%E9%97%A8%E8%81%94%E7%BB%9C%E8%A1%A8(office%20information%EF%BC%89-%20(3293).jpg"" width=""3119"" height=""4414""></p><link rel=""stylesheet"" href=""//g.alicdn.com/ikc-fe/kc-editor-theme/pc.css""></div>"
联系方式,"SWC办公室,SWC联系方式","SWC办公室在哪里？
SWC电话多少？
SWC联系方式","SWC办公室在VMA525<br/>电话：0755-66618474,8475<br/><br/>部门邮箱：swc@vma.edu.cn<br/><br/>部门主任邮箱：lixianyao@vma.edu.cn"
联系方式,"CCO办公室,CCO联系方式","CCO办公室在哪里？
CCO电话多少？
CCO联系方式","电话：0755-66618488,8486,8487,8483<br/><br/>部门邮箱：cco@vma.edu.cn<br/><br/>部门副主任邮箱：chenxiao@vma.edu.cn"
联系方式,"ASO办公室,ASO联系方式","ASO办公室在哪里？
ASO电话多少？
ASO联系方式",电话：0755-66618463<br/><br/>部门邮箱：aso@vma.edu.cn<br/><br/>部门主任邮箱：maryannobrien@vma.edu.cn<br/><br/>
Teacher/GAO,如何报备人员出入？,访客如何报备？,推送访客出入校园报备.Visitors Registration
Teacher/GAO,学生离校如何报备？,学生报备？,推送访客出入校园报备.Visitors Registration
Teacher/GAO,总务相关,"如何调配桌椅？
食堂投诉
安保相关问题
物业相关问题",推送总务事件单
Teacher/GAO,校车使用,如何申请校车使用？,推送用车申请
Teacher/GAO,资产管理,"如何做资产入库？
如何申请资产/设备报废？
固定资产领用",请至525办公室联系艾文玲老师
Teacher/ETO,门禁权限申请,如何申请门禁权限？,"1， 打开钉钉工作台-审批-IT事件单，提交一个权限申请<br/>2， 等待审批完成即可<br/>1. Go to workdesk-approval-IT ticket, and submit an access application<br/>2. Wait for approbal"
Teacher/ETO,在线教学手册,如何使用在线教学？,请参考文档 https://www.yuque.com/docs/share/f814577c-a7ba-4ab1-8f6c-a4c296724248?#<br/>Please refer to the following URL for details<br/>https://www.yuque.com/docs/share/f814577c-a7ba-4ab1-8f6c-a4c296724248?#<br/>
Teacher/ETO,校卡丢失如何补办？,如何补办校卡？,"<div id=""se-knowledge""><p>1，至MBS509购买校卡<br>2，携带新买校卡至522办公室找刘洋老师申请权限<br>1. Go to MBS 509 and purchase a new card<br>2. Come to VMA 522 with the purcahsed card, find Christian Liu to activate the card<br></p><link rel=""stylesheet"" href=""//g.alicdn.com/ikc-fe/kc-editor-theme/pc.css""></div>"
Teacher/AO,考勤,如何打卡考勤,? 打开钉钉工作台（最底下VMA图标）<br/>? 点击“考勤打卡”<br/>
Teacher/AO,快速考勤设置,如何设置快速考勤,? 点击右下角“设置”<br/>? 设置“极速打卡”一般时间设置为上班：上班前2小时-上班后1小时，下班时间为：下班时间-下班后3小时。<br/>? 完成退出。之后每天早上进入校园打开钉钉APP即可自动上班打卡，下班16:40之后离开校园之前打开钉钉APP即可自动下班打卡。
Teacher/AO,考勤异常申诉,考勤异常如何申诉,"<div id=""se-knowledge""><p>? 打开工作台（最下面中间VMA菜单）<br>? 点击“补卡申请”。流程已设置好。<br>? 选择要申诉的日期，点击异常打卡信息下面的补卡。<br>? 填写适当理由并提交，注意提醒相关主任审批<br></p><link rel=""stylesheet"" href=""//g.alicdn.com/ikc-fe/kc-editor-theme/pc.css""></div>"
Teacher/AO,老师请假,老师怎么请假,? 进入工作台（最下中间VMA图标）<br/>? 点击“审批”，再选择“请假.LeavesApplication”<br/>? 选择请假类型<br/>? 选择请假时间及相关原因，如有图片附件可拍照上传。<br/>? 存在多个部门的同事请选择自己的主部门。<br/>? 如您同时兼任行政和任课老师，请在审批人处选择你的学科组长。<br/>? 提交申请并通知您的审批人及时审批。<br/>
Teacher/AO,社保、公积金,如何查询社保和住房公积金账户余额？,深圳市社会保险基金管理局 网站：http://hrss.sz.gov.cn/szsi/<br/>深圳市住房公积金管理中心 网站：http://www.szzfgjj.com/<br/>1. 快捷查询方式：进入支付宝APP--城市服务--社保查询/公积金查提，同时支付宝也开通了电子社保卡功能，绑定用户在支持电子社保卡的医院就诊时可以免卡支付。<br/>2. 详细查询方式：微信关注“深圳社保”--便民服务--个人业务办理---注册之后查询明细；微信关注“深圳市住房公积金管理中心”--了解公积金明细及提取、贷款等功能。
Teacher/AO,社保缴纳基数、社保缴纳比例,中教职工社保缴纳的基数和比例？,"<div id=""se-knowledge""><p>书院会根据员工上年度月平均工资，在每年8月份对社保和公积金缴纳基数进行调整，其中医疗保险为一档综合医疗，住房公积金缴纳比例为单位和个人各12%，具体的缴纳比例和标准以当年社保局和公积金中心发布的最新政策要求为准。</p><p><br><br></p><link rel=""stylesheet"" href=""//g.alicdn.com/ikc-fe/kc-editor-theme/pc.css""></div>"
Teacher/AO,金融社保卡,中教职工如何申请金融社保卡？,1. 前往就近的照相馆（书院附近照相馆附件图片指引）拍摄数码照相回执---获取“数字相片采集回执”条码编号<br/>书院附近照相馆具体地址：<br/>A.春光数码影像中心，地址：深圳市盐田区大梅沙村54-2号<br/>B.佳丽鑫摄影有限公司，地址：深圳市盐田区梅沙街道海星道20号心海假日公寓205<br/>2. 微信关注“我的社保卡”---“办理金融社保卡”---根据自己意愿选择一家发行金融社保卡的银行----填写个人信息并提交<br/>3. 线上申请审核通过后，大约需要30个工作日完成制卡（每个银行稍有不同，具体以银行规定为准）<br/>4. 线上申请金融社保卡后，领卡人必须本人携带身份证前往银行领取并在柜台进行激活，不可代领。
Teacher/AO,"教师资格证
注册继续教育网",持有中国教师资格证的教师如何注册继续教育网站？公需课和专业课如何选修？需要达到多少学时？,公需课（学时要求：18学时）注册及选课网址：深圳市教师教育网  http://www.0755tt.com<br/>专业课（学时要求：30学时）注册及选课网址：深圳市中小幼教师继续教育网  http://www.szjspx.com.cn/<br/>★选课前请认真阅读以下内容★<br/>1.依据文件要求，每学年公需课需达到18学时，专业课需达到30学时，请根据个人情况合理安排每学期选修学时。<br/>2.公需课和专业课本期培训同时开设“2014-2015”、“2015-2016”和“2016-2017”和“2017-2018”“2018-2019””课程的补修，补修课程名称前缀含有学年标识，培训结束后，相关课程学时归到对应学年。<br/>本学年专业课程前没有标注<br/>本学年公需课名称为“2019年深圳市教师继续教育公需科目”<br/>3.目前教育局印发的《深圳市民办中小学教师继续教育实施办法》文件中第二条规定　........本办法适用于全市民办中小学专任教师、中层管理人员、校长、举办者（以下统称民办中小学教师）的继续教育工作。...............<br/>未任课的行政教辅教师如有教师资格证书并且已经注册继续教育网站，建议也根据自己兴趣进行选修课程，谢谢！<br/>4、继续教育选课后由书院统一进行费用缴纳，无需个人缴费。
Teacher/AO,工作证明,如何开具工作证明用于旅行或商务出差？,请联系行政部人事专员发送专用模板，填写好个人信息后回复人事专员，由人事专员统一打印。
Student/VMAA,在VMAA入读后我还可以走国内的艺术高校路线吗？,就读艺术学院后可以申请国内的艺术高校吗？,VMAA的课程设计以海外升学为导向，与国内的普高课程是完全不同的体系，所以无法参加国内的艺术类高考，建议学生与家长仔细考量。
Student/VMAA,艺术生可以申请什么类型的学校？,"艺术生只能申请美术学院吗？
艺术生只能申请音乐学院吗？
艺术生可以申请综合类院校/大学吗？",只要符合意向的综合类大学的申请要求，是可以申请的。
Student/VMAA,艺术生的晚自习怎么安排？,"艺术生晚自习安排？
艺术生可以两节课都在VMAA晚自习吗？
G9艺术生晚自习安排？",1.艺术生晚自习同书院安排：19:00-21:00，中间无课间休息。在此期间，学生不允许就餐、不允许小组作业、不允许使用手机。<br/>2.G10-G12艺术生如有需要在工作室或琴房自习，在书院正常考勤完毕后，可向值班老师申请到艺术学院学习。<br/>3.G9学生的晚自习教室为VMAA 622， 如有需要在工作室或琴房自习，在正常考勤完毕后，可向值班老师申请。<br/>4.学生需保证学术和专业练习的两方面课业完成度，原则上建议每晚平均分配学术课作业和专业练习的时间。如遇到比赛或者期末，可视情况进行调整。
Student/SWC,学生请假,"怎么请假？
请假流程是什么？
晚自习怎么请假？
我是走读生，申请了在校晚自习怎么请假？
生病了怎么请病假？
我要参加考试怎么请假？
我要参加大学访问怎么请假？
我没有课了要离校回宿舍怎么办？
我现在没时间找科任老师签名，要紧急请假怎么办？
我要参加学校组织的活动或比赛怎么请假？
假期","<div id=""se-knowledge""><p>事假<br>1.学生打印请假单及课程表，至学生事务院长办公室(532)提出申请。<br>2.学生持课程表与请假期间所有涉及的科任老师沟通并取得签名(紧急请假除外)。<br>3.学生将请假单和科任老师签字的课程表交至学生健康发展中心。 <br>? 大学访问: 所有的访问都需要通过升学指导老师和学生事务院长批准.所有学生都必须提前一周办理请假流程。<br>? 考试以及比赛: SAT,AP ,TOEFL 等学术考试以及各类体育、艺术比赛。学校将允许学生申请考试或比赛当天以及往返路途(以票据信息为准)的假期，不允许学生为准备任何标化考试申请额外的假期。<br><br>病假<br>三天以内的病假：<br>走读生：走读生需要办理病假，必须由家长在早上8点之前邮件至学生事务院长办公室(邮箱:johnlarson@vma.edu.cn)申请。 <br>住宿生：住宿生需要办理病假，必须由家长向医务室(座机：66618471)申请。 <br>所有学生超过三天的病假，皆须向学生事务院长提出申请，且必须出示医生证明才能返校上课。<br><br>晚自习请假<br>住宿生晚自习事假：必须由家长在18:40前向生活老师(梅沙一号 66618477；天琴湾 25000923 ；盐体运动员公寓 25164265/22744262)提出申请。<br>走读生晚自习事假：学生在16:40前至学生健康发展中心(525)或邮件至swc@vma.edu.cn提出申请。<br>晚自习病假：必须由家长在18:40前向医务室(座机：66618471)提出申请。 <br><br>无课请假离校（以下两种方式任选其一）<br>? 学生在确认无课的情况下，于钉钉-VMA-审批-临时出校申请：输入出校时间、返校时间及出校理由，提交成功后必须于16:40前至525学生健康发展中心找陈燕静老师，陈老师与家长确认审批后即可离校。<br>? 学生在确认无课的情况下联系导师，导师与家长确认后报备离校。<br><br>公假<br>? 学生因参加学校组织的活动或比赛需要请假，可由活动负责老师统一办理公假。<br>? 活动负责老师需要和家长沟通确认，获得家长同意后方可申请。<br>? 若涉及外出的公假需要确保有老师陪同统一往返保证学生安全。<br><br>*紧急请假: 如果出现紧急事件，比如突发疾病等，请直接到学生事务院长办公室(532)或邮件至johnlarson@vma.edu.cn申请。</p><link rel=""stylesheet"" href=""//g.alicdn.com/ikc-fe/kc-editor-theme/pc.css""></div>"
Student/SWC,活动报备目的,为什么活动需要申请报备？,学校活动的有序开展是对全体师生学习生活的重要保障。明确活动目的和意义，整合活动学生信息是为了保证全体师生的活动安全。
Student/SWC,活动报备原因,"请问什么活动需要提交活动申请呢？
我申请活动可以不报备吗？
组织活动需要申请吗？
组织活动不报备可以吗？","学生健康发展中心致力于为梅沙学子提供丰富多彩的校园生活。学生活动主要包括：社团活动，社会实践活动以及第三方组织活动。所有学术类活动请直接获得学术院长同意。为了保证活动参与者的健康安全，以及活动的正常开展，以下类型学生活动需要按照活动申请流程提交申请：<br/>1.	涉及活动参与者安全，或需在专业指导下进行的活动需要提起申请<br/>2.	需要离校进行的活动需要提起申请<br/>3.	以学校名义参与或组织的集体活动需要提起申请"
Student/SWC,活动报备流程,"请问要怎么申请活动呢？
我应该跟谁申请活动呢？
我申请活动需要获得谁的批准呢？
活动申请有哪些流程呢？","申请活动仅需要完成以下三步：<br/>1.	完成《万科梅沙书院活动申请表》填写及获得相关部门负责人签字许可。<br/>2.	申请人提交所有活动申请材料至学生健康发展中心，获得审批同意。<br/>注意：参与人数超过十人或者需要离校的活动必须先填写表格获得学生事务院长的签字许可。<br/>申请人提交以下材料至学生健康发展中心，获得审批同意。<br/>1.《万科梅沙书院活动申请表》<br/>2.活动方案<br/>3.保险购买凭证（涉及离校活动必须给全体参与师生购买综合意外险）<br/>4. 外出活动安全责任书（涉及离校活动或在节假日活动必须提供）<br/>5.免责声明（涉及离校活动或第三方活动必须提供，当签署免责声明时，家长知情书可免去）<br/>6.其他必要材料<br/><br/>"
Student/SWC,活动报备材料,"请问活动报备需要哪些材料呢？
活动申请的表格哪里拿呢？
活动申请需要完成哪些表格呢？
活动申请需要填表吗？","1.	《万科梅沙书院活动申请表》<br/>2.	《活动方案》<br/>3.	《保险购买凭证》（涉及离校活动，全体参与师生需购买综合意外险）<br/>4.	《外出活动安全责任书》（涉及离校活动需提供）<br/>5.	《免责声明》（涉及离校活动或第三方活动必须提供，当签署免责声明后，《活动参与同意书》可免去）<br/>以上表格模板获取方式<br/>1.	活动申请流程图以及所有申请材料空白模板已经发送至全体同学以及老师的邮箱，请输入关键字“活动申请Q&A”查找邮件进行附件下载。<br/>2.	活动申请流程图以及所有申请材料空白模板已上传钉盘。请点击界面左侧“钉盘”图标，然后选择"
Student/SWC,活动申请时间,我们应该什么时候开始申请活动呢？,"1.	所有活动申请请在活动执行日前一月的15号前启动，并在活动执行日前一月30号前完成所有申请程序。（举例：活动时间为9月3日，活动负责人需在8月15日启动申请，8月30号前上交全部申请资料至SWC Room525）<br/>2.	如遇到不能履行正常申请流程的特殊紧急活动（政府活动，专业竞赛），比如活动准备周期紧张，请下载活动申请表直接获得学生事务院长签字，在活动执行日前补齐所有资料交至SWC Room 525。"
Student/SWC,社团概况,"书院现在总共有多少个社团？
书院有哪些优秀的、有意思的社团？","<div id=""se-knowledge""><p>2019-2020学年，万科梅沙书院更新注册社团有66个，涉及多个不同领域，包括学术研究，体育竞技，学科竞赛，公益环保，视听艺术等方面。在2018-2019学年，有14个年度优秀社团引领着梅沙书院的社团发展。这些优秀社团分别是潮·Tide杂志社、中国传统文化社、万科梅沙书院灵籁合唱团、VMA 航拍社、科技创新社、古典音乐社，以及获得最佳创作奖的VMA檐下履诗社、以及成立两年半就跻身模范社团之列的Future Insight Club （未来视角）等社团。</p><link rel=""stylesheet"" href=""//g.alicdn.com/ikc-fe/kc-editor-theme/pc.css""></div>"
Student/SWC,社团注册时间,"社团每年都会招新吗？学生如何加入自己感兴趣的社团？
如果学生想创建一个学校现在没有的社团，可以如何做？",万科梅沙书院每学年第一学期全校统一进行社团招新，其它社团成员招募活动由各社团自行安排，各社团可以按照自己的要求制定流程及面试要求。从2019-2020学年开始，我们将对部分创意优秀的候选学生社团进行补录。具体通知请直接前往VMA525办公室咨询学生健康发展中心老师。
Student/SWC,社团报名,"我应该怎么报名社团？
我什么时候可以报名社团？
我必须报名社团吗？
如果我不报名社团会怎样？",我们鼓励并要求所有的梅沙学子参与社团活动。社团在学生活动中是不可或缺的一部分，社团为学生提供机会去追求自己的兴趣、展现自己的智慧与热情，并为社区做出贡献。<br/>社团的茁壮成长一直是梅沙学子综合素质提升和丰富课余活动的重要表现。今年，书院在鼓励全体学生加入社团的同时，进一步规范社团管理制度，全力支持品牌社团的孵化。
Student/SWC,社团活动地点,"社团活动场地怎么找？
社团活动在那里进行？
社团活动地点指导老师可以帮助解决吗？
社团活动可以在校外吗？",社团需在注册时上交日常活动地点申请，学生健康发展中心根据人数和实际情况统筹安排。在社团活动时间内，社团对于教室拥有使用权，对于教室内的设备和清洁负责。如有违反，学生健康发展中心有权收回社团教室使用权。<br/>为保证师生的安全健康，如社团进行校外活动需由社团指导老师指导履行活动报备流程，完成校外活动的申报和保险购买后方可进行。
Student/SWC,社团活动时间,"社团活动时间是什么？
社团活动可以在课堂时间进行吗？
社团活动可以在晚自习吗？
社团活动必须要在PP1，PP2吗？",社团课一切要求同正常教学时间，所有社团必须在书院规定的社团活动时间为（周一至周四）PP1 15:30-16:40或者PP2 14:50-17:30内按照课程计划进行。主要活动集中在非教学时间段的社团，如公益、慈善、户外活动等性质的社团，需安排好每周工作。社团活动若需占用自习课、晚自习等时间，需提前向学生健康发展中心申请报备。
Student/SWC,社团指导老师,"社团有指导老师吗？
社团必须要指导老师吗？
社团要几个指导老师？
社团没有指导老师可以吗？",每个社团都有一名或多名专业指导老师。为保证社团质量，原则上每一位指导老师最多可以负责两个社团（该规则适用于校内规定时间的社团活动以及其它时间的所有社团安排）。<br/>另外，社团可聘请若干造诣较深或在某些方面有专长、关心学生社团活动的专家、学者或教师，担任指导教师、顾问，但必须报学生健康发展中心同意。
Student/SWC,社团leader,"社团leader需要做什么？
怎么才能成为社团leader？
社团leader可以有几个？
如果我想担任社团领袖，需要承担什么责任？",社团领袖指导着社团的发展。社团领袖应按照社团的目标召集、记录以及计划各项活动。社团领袖也有责任依照学校的规章制度建立他们的社团制度。每个社团必须有一个社团长，最多有两名副社长。
Student/SWC,社团运行规范,"社团需要考勤吗？
社团需要写报告吗？
如果我在的社团活动没有按时开展会怎样？",万科梅沙书院的所有社团归学生健康发展中心管理。为了更好的发展、管理和支持社团，特制订《万科梅沙书院学生社团章程》，以对社团成立、管理、解散、指导老师工作职责、违规处理与考核表彰作出详细的说明和严格的规定。以社团管理中的社团课考勤部分为例，每个学生需登记姓名、学号、舍堂、联系电话等个人信息进行备案，并由社团指导老师负责登记考勤。一学期内社员缺勤超过3次，将取消社团成员资格。每一名学生在该节社团课时间必须固定在一个社团进行活动。<br/>2019-2020学年，书院所有社团必须每个月上交一次月度报告，用于记录和总结社团阶段性的发展成果。同时，帮助各个社团梳理社团的成长规划。
Student/SWC,社团选择,"我可以注册几个社团？
如果我选了一个社团，但是后来不喜欢了怎么办？
我可以转社团吗？",我们希望每一个学生找到自己的热爱，如果真的通过实践和磨合觉得不适合，我们会在获得接收社团指导老师和社团Leader的许可后，协调同学加入新的社团。在此之前，学生需向原社团Leader提出离社，社团Leader向学生健康发展中心负责老师报备社团人员名单更改。为了确保社团发展质量以及学生学业与活动的平衡，学生在正式社团课时间需按照书院要求可选择两个社团进行报名。
Student/SWC,优秀社团评选,"优秀社团会受到表彰吗？
社团表现优异会有奖励吗？
优秀社团的评选标准是什么？",每年，书院会有独立的评审委员会COLA根据社团考评标准对社团进行多维度，全方位的考评，并依据考评结果对优秀社团进行表彰和嘉奖。2018-2019学年，推出了模范社团奖、最佳风尚奖、年度社团三大奖项。<br/>针对优秀社团的表彰，需在规定时间段，由社团提出自荐申请或由社团指导老师提名推荐，获得提名的社团上报材料至学生健康发展中心审核，最后报送院长审批优秀社团获奖名单。
